timestamp, frame, x, y, z, qx, qy, qz, qw
174384.217940208, 000000, 0.8878961, 0.015484471, -0.21780454, 0.29660496, 0.035852086, -0.9541752, 0.017023666
174384.251284125, 000001, 0.88806766, 0.015502207, -0.21770987, 0.29675424, 0.035813544, -0.954132, 0.016924832
174384.284628625, 000002, 0.8878201, 0.01526944, -0.21775995, 0.29720768, 0.035590757, -0.9539982, 0.016981563
174384.317973666, 000003, 0.88799936, 0.015239287, -0.21757056, 0.29713672, 0.035917133, -0.95400184, 0.017330738
174384.351318166, 000004, 0.8883052, 0.015271775, -0.21735127, 0.2982361, 0.035801873, -0.95366496, 0.017221628
174384.384659375, 000005, 0.88862383, 0.015232131, -0.21699728, 0.29902375, 0.035948887, -0.95341015, 0.017368346
174384.418003791, 000006, 0.8885822, 0.0151329115, -0.21700233, 0.29933694, 0.035987552, -0.9533026, 0.017786415
174384.451348958, 000007, 0.8887579, 0.015036199, -0.21647562, 0.29942644, 0.036335558, -0.9532522, 0.018267952
174384.484692458, 000008, 0.88871855, 0.014989752, -0.2158265, 0.30000684, 0.036789533, -0.9530431, 0.018741664
174384.51803725, 000009, 0.888679, 0.014944971, -0.21498041, 0.3006979, 0.03751404, -0.9527898, 0.01910562
174384.551382041, 000010, 0.888625, 0.014708433, -0.21350558, 0.3018205, 0.038256254, -0.9523984, 0.019442145
174384.584726166, 000011, 0.8886639, 0.014431765, -0.21208163, 0.30317348, 0.038635187, -0.9519467, 0.01976573
174384.6347425, 000012, 0.889066, 0.014171068, -0.20992544, 0.30585277, 0.03864528, -0.9510795, 0.020209854
174384.668087583, 000013, 0.889395, 0.014105145, -0.2081415, 0.30783767, 0.038895715, -0.9504221, 0.02051675
174384.701432041, 000014, 0.88963777, 0.014082491, -0.20622751, 0.31008396, 0.03888278, -0.94968504, 0.02084345
174384.734775541, 000015, 0.8900986, 0.013985489, -0.2039938, 0.31242678, 0.038324043, -0.94894326, 0.020676605
174384.768117916, 000016, 0.89064306, 0.013742233, -0.20104413, 0.31510153, 0.038167715, -0.94807553, 0.02017466
174384.801464708, 000017, 0.89125395, 0.013284873, -0.19747345, 0.3174076, 0.03777311, -0.9473373, 0.019430382
174384.834809125, 000018, 0.89202034, 0.012612283, -0.1939293, 0.32012904, 0.037401993, -0.9464526, 0.018600065
174384.868157458, 000019, 0.8925945, 0.011913672, -0.18994437, 0.3239174, 0.03722622, -0.945188, 0.017646002
174384.901498916, 000020, 0.89312553, 0.01130515, -0.18537076, 0.32858148, 0.037410844, -0.94358563, 0.016757945
174384.934842833, 000021, 0.8943376, 0.010809928, -0.18037535, 0.33274126, 0.03871922, -0.94207865, 0.016488299
174384.968190583, 000022, 0.895985, 0.010413267, -0.17518033, 0.3361964, 0.039427735, -0.9408218, 0.016485017
174385.001532041, 000023, 0.8972514, 0.009722203, -0.16953547, 0.33946562, 0.040265888, -0.93959713, 0.01729274
174385.034877041, 000024, 0.8989929, 0.009478312, -0.16305558, 0.34310722, 0.0401632, -0.938249, 0.018791635
174385.068221083, 000025, 0.9003347, 0.010020517, -0.15611595, 0.3471685, 0.041469213, -0.9366341, 0.021699736
174385.101566041, 000026, 0.90245074, 0.010283574, -0.14866172, 0.35270557, 0.039559204, -0.9345952, 0.02378276
174385.134909708, 000027, 0.9052612, 0.010149337, -0.14096709, 0.3591625, 0.038054448, -0.9321486, 0.025557585
174385.168257416, 000028, 0.90760416, 0.00949515, -0.13364957, 0.3653992, 0.037562426, -0.9297031, 0.026916498
174385.201599958, 000029, 0.91006255, 0.008736901, -0.12597965, 0.37179688, 0.03758222, -0.92713255, 0.02792747
174385.234943083, 000030, 0.91281116, 0.007987812, -0.118259504, 0.37872633, 0.037732657, -0.9242977, 0.028573383
174385.268289083, 000031, 0.9154305, 0.0072994605, -0.11083107, 0.38533637, 0.0379411, -0.92152286, 0.029529111
174385.30163325, 000032, 0.918152, 0.0065081865, -0.103513345, 0.39193004, 0.038121503, -0.91869754, 0.030536085
174385.334977083, 000033, 0.9209144, 0.005658347, -0.09635001, 0.399109, 0.038072098, -0.91558313, 0.03114634
174385.368322375, 000034, 0.923535, 0.0051928945, -0.08979322, 0.40668333, 0.0381756, -0.91222024, 0.03171047
174385.401667208, 000035, 0.92592573, 0.004627414, -0.08312714, 0.41424814, 0.038688906, -0.9087608, 0.032487277
174385.435011125, 000036, 0.9282366, 0.0039854795, -0.076657996, 0.42123082, 0.0386152, -0.9055234, 0.033177573
174385.46835775, 000037, 0.9305767, 0.0033743866, -0.07084927, 0.42746246, 0.038974315, -0.9025472, 0.034138724
174385.501700416, 000038, 0.9326479, 0.0026560128, -0.064942166, 0.43299413, 0.039777104, -0.8998265, 0.03530013
174385.535044375, 000039, 0.9344187, 0.0018089637, -0.059000053, 0.4381197, 0.040167373, -0.8972879, 0.036223963
174385.568389791, 000040, 0.9355022, 0.00079414994, -0.05318001, 0.4435814, 0.040889557, -0.89453846, 0.036939032
174385.601734, 000041, 0.9363762, -0.00010911186, -0.047163364, 0.44861796, 0.04231155, -0.89191717, 0.037887085
174385.63507975, 000042, 0.9370942, -0.0008413084, -0.04104089, 0.4525797, 0.043161318, -0.88983315, 0.038803853
174385.66842325, 000043, 0.93638486, -0.0013611969, -0.034605578, 0.45637354, 0.044212658, -0.88781303, 0.03945207
174385.701767833, 000044, 0.93618566, -0.0019580927, -0.028052442, 0.46035433, 0.04524873, -0.88570946, 0.039308555
174385.7351115, 000045, 0.9362283, -0.0027025137, -0.02129882, 0.46426424, 0.04650357, -0.8836213, 0.038852826
174385.768456583, 000046, 0.935858, -0.003552219, -0.014905371, 0.46793514, 0.0478079, -0.8816298, 0.038471285
174385.801801416, 000047, 0.9352284, -0.0046848375, -0.0077533573, 0.47176903, 0.04885601, -0.87953305, 0.03832308
174385.835145166, 000048, 0.9344983, -0.0060754362, -3.4948325e-06, 0.47509784, 0.05026425, -0.8776375, 0.038831163
174385.868490541, 000049, 0.9330171, -0.007585965, 0.007421725, 0.4784822, 0.051738966, -0.875692, 0.03926039
174385.901834875, 000050, 0.93193686, -0.009034943, 0.015291677, 0.48369148, 0.05284011, -0.8727755, 0.03890235
